Text,Polarity,Source
"Llegué a Todos Santos con altas expectativas pero tuve una mala experiencia en la zona de los atractivos. Intentamos ir al cenote Ojos del Sapo y el agua estaba turbia además de muy sucia, algo totalmente inaceptable para quien busca naturaleza. El personal dijo que era por la temporada de lluvia y no nos dieron otra opción viable. Además, en el restaurante sin menú claro cobraron un cargo adicional injustificado por una simple bebida. La gente del grupo se puso en mal humor rápido y definitivamente no volveremos aunque veamos fotos hermosas; es decepcionante.",1,qwen/qwen3.5-9b
Definitivamente no volveré a este lugar; cobraron dólares y la atención fue pésimo servicio. La playa huele mal y es una trampa para turistas que pierde cualquier oportunidad de disfrutar esta maravilla natural.,1,qwen/qwen3.5-9b
"Muy decepcionado mi viaje a Valle de Bravo después de gastar dos días esperando que abran el parque arqueológico solo para descubrir que está cerrado definitivamente. No había nadie en la entrada y cuando llegué temprano la alberca parecía demasiado sucia con poca agua, tal vez por eso no quise entrar. Parecía que todo era para ahorrar dinero pero acabó siendo un desperdicio total; ni siquiera el servicio merece la pena de este pueblo mágico si la calidad es así ni mucho menos volveré a recomendarlo a nadie.",1,qwen/qwen3.5-9b
"Llegué a este supuesto atractivo de Tulum en un mal momento y encontré el lugar prácticamente desierto con un letrero que dice 'está cerrado'. Después de pagar una entrada absurda, vi que las aguas termales estaban vendiendo tickets para nada y los pozos azules solo traen agua sucia que entra fácil. La gente simplemente no debe mejor regresar sin visitar otros cenotes reales en la región maya; es un estafamiento total que da impresión de abandono absoluto.",1,qwen/qwen3.5-9b
Decidimos visitar este lugar buscando un paraiso mejor pero fue una pesima experiencia con aguas negras y playas sucias que no cuentan. Quiero decir definitivamente que recomiendo pasar de largo si no quieres estafas en esta zona.,1,qwen/qwen3.5-9b
"La experiencia en el atractivo de Playa Tiburón fue pésimo; llegamos temprano y el lugar estaba vacío con Wi-Fi lento y un letrero que dice que cobran entrada antes de que dejen pasar. Contrata guía porque no saben nada de seguridad, hicieron actividades sin supervisión real y la poza azul parecía un charco sucio. Tuvimos que esperar una hora hasta que finalmente pudimos dar vuelta a otro lado en el estado, pero el servicio dio bienvenida solo para cobrar y hacer nada. Acabo volver triste porque parece bien todo lo que decían las fotos, fue joya escondida al revés.",1,qwen/qwen3.5-9b
Pésima experiencia en este atractivo turístico de Tulum; el cenote estaba sucio y las instalaciones descuidadas. Cobraron precios exorbitantes en moneda extranjera aunque el servicio fuera nulo. Totalmente decepcionado por cómo han abandonado este pueblo mágico.,1,qwen/qwen3.5-9b
Pagamos pesos pero el cambio era pésimo y el servicio extremadamente grosero; el restaurante creo que ofrece nada porque estaba prácticamente vacío y todo parecía si fuera un lugar cerrado.,1,qwen/qwen3.5-9b
"Llevo dos días en Valladolid y lo único que me deja es una sensación terrible porque la pequeña carretera para llegar a los atractivos principales es un infierno con baches profundos y poco señalización. Tuve una experiencia de viaje desastrosa ya que el lugar parecía demasiado abarrotado sin respetar reservaciones, algo que en este Pueblo Mágico debería ser básico. La persona guía que asignaron era grosera y los consejos ir fueron solo para vendernos cosas caras sin utilidad real.",1,qwen/qwen3.5-9b
"Definitivamente la peor experiencia de mi vida en San Cristóbal de las Casas, ya que decidimos pagar una tarifa exorbitante por una guía turística que nos llevó a un lugar donde ni siquiera había nada qué ver salvo ruinas abandonadas sin mantenimiento real. Aunque habíamos tenido muchas expectativas tras ver imágenes increíbles y pensábamos que podría haber algo como olas rompiendo en la playa local o llegar hasta el océano, lo único que encontramos fue calor intenso durante toda la tarde y bebidas con precios absurdos que no estaban dispuestos a explicar. Mi marido y yo nos frustramos rápidamente porque pasamos poco tiempo libremente y sentimos que era una trampa turística diseñada para sacar dinero sin ofrecer valor alguno; después de horas buscando estacionamiento alrededor del centro histórico, finalmente descubrimos que la opción sin pagar nada estaba mucho mejor cerca del mercado, por lo que esta excursión resultó ser una mayor decepción absoluta y algo que realmente no quiero repetir nunca más con mi familia.",1,qwen/qwen3.5-9b
"Estuve hace dos días en Valladolid y me siento decepcionado porque el atractivo principal que prometían dejaron entrar a personas sin ningún control ni seguridad. Aunque los cenotes son maravillosos naturalmente, la atención personal fue pésima calidad cuando llegué; nos explicaron nada sobre las normas y hasta el propio gobierno mexicano parece ignorar cómo cuidar el sitio. Difícil acceso desde la ida al regreso porque había olas grandes en la playa de Pescadores justo frente a donde se supone que debía ser el evento especial. Si alguien necesita visitar ver pirámides, aquí no hay respeto por la naturaleza ni ningún momento divertido, todo fue un desastre absoluto.",1,qwen/qwen3.5-9b
