S,R,O
hockey,receives action,play on ice
restroom,at location,rest area
eat breakfast,has prequisite,make breakfast
book,at location,table
dust,at location,refrigerator
letter,used for,communication
dynamite,used for,blow thing up
shade,at location,window
cat,has a,eye
cat,at location,bag
rook,is a,chess piece
quartz,is a,mineral
something,at location,barn
you,not capable of,judge book by it cover
planet,used for,live on
eraser,at location,desk
buy present,used for,christmas
saloon,used for,drink
piece,at location,information in book
someone,at location,university
find lose item,causes,happiness
door,used for,enter room
kill,has prequisite,get weapon
destroy your enemy,has prequisite,plan
garden,has a,flower
sew,has subevent,thread needle
forklift,used for,move heavy object
lightning,is a,electricity
casket,at location,funeral
tax,receives action,pay
axe,is a,tool
propose to woman,has prequisite,buy ring
be tire,causes desire,sleep
vacuum,at location,space
read book,has property,fun
person,desires,vacation
stair,at location,build
tan lotion,used for,prevent sunburn
wind,capable of,blow to east
stop your car,has subevent,brake
ride horse,has prequisite,put saddle on horse
glass of milk,used for,drink
express yourself,causes,embarrassment
entertain person,has subevent,sing
person,at location,apartment
paper,receives action,write on
buy present for others,causes,happiness
cat,capable of,drink milk
news,at location,television
bury cat,has subevent,cry
dish,used for,eat thing off of
burlap,used for,make bag
something,at location,bottom of lake
box,at location,basement
verb,is a,word
table,at location,resturant
see your favorite show,has subevent,laugh
book,at location,university
glue stick,at location,desk
boat,used for,fish
eiffel tower,is a,in paris france
ship,capable of,weather storm
play sport,used for,win
wire,capable of,short circuit
swim,causes,drown
beaver,capable of,build dam
take in film,has prequisite,go to cinema
toilet,at location,rest area
cemetery,at location,city
grocer,capable of,bag grocery
read newspaper,has prequisite,know how to read
apple,capable of,fall from tree
talk with someone far away,has prequisite,call them on phone
apple,has a,seed
bridge,used for,cross water
have shower,causes,get clean
live life,causes,happiness
each hand,has a,one thumb
wait room,at location,doctor
attend meet,has subevent,take note
speaker,capable of,field question
listen to radio,has prequisite,tune in station
play poker,has subevent,lose money
girl,capable of,meet boy
something,at location,surface
passenger,capable of,board ship
moses,capable of,part red sea
arm,used for,wave
get pay,has prequisite,get job
watch movie,has subevent,cry
tree,at location,state park
computer,at location,table
dental floss,at location,bathroom
welcome mat,at location,front door
fan,capable of,cool person
boat,used for,float on water
paper,receives action,burn
crater,at location,moon
find lose item,has prequisite,retrace your step
pad,at location,carpet
chair,has a,four leg
hot tap,at location,bathroom
orchestra,at location,opera
squirrel,capable of,store nut
bone,has a,calcium
schedule,at location,train station
island,is a,body of land
go see play,has prequisite,purchase ticket
eraser holder,used for,hold eraser
go for jog,causes,sweat
meet person,has subevent,smile
room,at location,motel
ride bicycle,used for,exercise
have pee,has prequisite,go to bathroom
townhouse,used for,live in
scale,used for,weigh thing
detective,capable of,case joint
run twenty six mile,causes,exhaustion
mall,used for,shop
lawyer,capable of,state case
automobile,at location,garage
write story,has prequisite,have imagination
car,has a,engine
win,not is a,everything but it something
use calculator,has first subevent,turn it on
some person,has a,dog as pet
biography,is a,book
heart,is a,muscle
play basketball,has prequisite,go to basketball court
coral reef,at location,water
pay by check,has prequisite,have bank account
microscope,at location,laboratory
revolver,is a,weapon
someone,at location,disco
music,at location,opera
contemplate,has subevent,think
meet friend,has subevent,shake hand
read newspaper,has subevent,learn about current event
bone,at location,vertebrate
get in shape,has prequisite,exercise
fly kite,causes,have fun
sit down,has subevent,bend your knee
wash dirt from between your toe,causes,clean foot
surf,causes,get wet
play guitar,has prequisite,take lesson
meet girl,has subevent,flirt
jog,causes,sweat
electric razor,used for,shave
have rest,has subevent,lie down
ride bicycle,has prequisite,pedal
earn live,has subevent,go to work
pray,has subevent,kneel
isle,at location,sea
can opener,capable of,open can
boss,capable of,page employee
calculate thing quickly,causes,mistake
something,at location,river
fall,capable of,hurt
water,not capable of,burn
someone,at location,basement
smoke,not has property,good for your health
cop,capable of,tail suspect
kiss,causes,sex
paint,capable of,coat surface
cook,capable of,brown meat
someone,at location,space station
study,has subevent,learn
theft,is a,crime
human,at location,library
sun,at location,universe
child,capable of,become adult
live grass,has property,green
troll,at location,bridge
go to opera,has prequisite,dress up
take course,causes,learn
xylophone,used for,make music
someone,at location,table
cougar,is a,cat
do housework,has subevent,clean house
walk,has prequisite,leg
squirrel,at location,park
sloth,at location,tropical forest
have physical exam,has prequisite,go to hospital
road sign,at location,fork in road
give gift,has prequisite,buy gift
tank,at location,war
some person,has property,ignorant
trash,receives action,recycle
container,used for,hold something
procreate,has subevent,have sex
calculate thing quickly,has subevent,make mistake
get good grade,has subevent,study
person,not desires,itch
play chess,has subevent,checkmate
get fit,has prequisite,excercise
play harp,has subevent,pluck string
thank someone,has subevent,smile
shampoo and conditioner,used for,wash hair
chairperson,capable of,chair meet
most cat,has a,tail
buy hamburger,causes,you have something to eat
wait your turn,motivated by goal,you be polite
horse,at location,cavalry
doorbell,at location,front door
horse,capable of,pull cart
sprinkler,at location,lawn
person,capable of,deal card
person,capable of,weather storm
explosive,used for,blow thing up
stop your bicycle,has prequisite,use it brake
fungus,at location,warm damp place
hockey puck,at location,hockey game
walk,causes,exercise
take final,causes,finish class
person,at location,opera
remember something,has prequisite,memory
someone,at location,classroom
jelly,at location,jar
door,has a,handle
thank someone,has prequisite,say thank you
get in line,has prequisite,patience
soccer field,used for,play soccer
something,at location,circus
someone,at location,movie theater
play sport,has prequisite,join team
stay in bed,has subevent,read book
ball,used for,play game
accordian,is a,musical instrument
diamond,is a,girl best friend
copper,is a,good conductor of electricity
be in love,is a,wonderful feel
mallard,is a,duck
book,has property,expensive
wrench,is a,useful tool
hand,used for,hold thing
honey,has property,sweet
water,has property,reflective
tank,used for,kill person
clamp,is a,tool
wood,has property,brown
dice,is a,cube
rape,has property,bad
tire pump,used for,inflate bicycle tire
rose,is a,sign of love
horse,is a,large animal
helmet,used for,protection
travel,has first subevent,pack
go for haircut,causes,short hair
buy christmas present,used for,fun
bird,desires,fly
spoon,used for,stir coffee
highway,used for,car to drive on
eiffel tower,has property,tall
child,has property,noisy
cross street,has subevent,look both way
bucket,capable of,carry water
tv,used for,entertainment
weightlifter,capable of,lift weight
blade,used for,cut
prince,capable of,succeed king
cat,capable of,eat meat
person,not desires,bore job
back garden,used for,grow vegetable
ticket office,used for,sell ticket
be in charge of project,causes,stress
talk to someone,has last subevent,say goodbye
meet friend,causes,happiness
person,not desires,break finger
ballpoint pen,used for,write
dog,has property,friendly
rain,has property,wet
staircase,used for,go upstairs
ivy,is a,vine
sunset,has property,beautiful
play game,used for,entertainment
listen to music,causes,deafness
counter,used for,work on
commit to memory,causes,learn
tablespoon,is a,measurement
band,capable of,play music
bullet,used for,kill
waiter,capable of,serve meal
travel,causes,motion sickness
exercise,has first subevent,stretch
attend school,causes,learn
watch,used for,keep track of time
sofa bed,used for,sit on
lie,causes,guilt
pawn,is a,chess piece
wing,used for,flap
xylophone,is a,instrument
picture frame,capable of,hang on wall
use television,has prequisite,turn it on
chess queen,used for,play game of chess
tearoom,used for,drink tea
revolver,is a,gun
razor,has property,sharp
person,desires,good life
west virginia,is a,state
orchestra pit,used for,orchestra to sit in
gasoline,has property,flammable
harp,is a,instrument
set cup on table,motivated by goal,free your hand
soak in hotspring,causes,relaxation
person,capable of,drink milk
person,capable of,hear noise
pain,has property,unpleasant
check in counter,used for,check in
japanese restaurant,used for,eat japanese food
stethoscope,has property,cold
bobby pin,used for,pick lock
bar,used for,get drunk
gun,used for,kill
bring home some fish,motivated by goal,fish be good to eat
footstool,used for,stand on
stay fit,has subevent,exercise
friend,capable of,lend tool
teakettle,used for,make tea
go see film,causes,enjoyment
kitchen utensil,used for,prepare food
john,used for,go to bathroom
communicate,has prequisite,think
sit quietly,has subevent,think
clean your room,causes,clean room
wage war,causes,death and destruction
grass,has property,green
velvet,has property,soft
dance,used for,fun
voice,used for,talk
key,used for,unlock
poet,capable of,write poem
balalaika,used for,make music
squash court,used for,play game of squash
