Text,Polarity,Source
"Qué pena tan grande que el lugar turístico principal estuviera cerrado. Parecía demasiado difícil hacer arreglos para ver algo, y al final nos fuimos muy decepcionados por lo poco que había que hacer en todo el pueblo.",1,google/gemma-4-e4b
Fue una decepción enorme lo que encontramos en los servicios turísticos de aquí. Nos sentimos como víctimas de alguna trampa pues la atención fue pésima y no nos explicaron bien nada con el tipo de cambio. Realmente fue una pena total.,1,google/gemma-4-e4b
"Neta que me siento súper frustrado con la visita a Tulum este fin de semana. Venía esperando un día increíble en la Riviera Maya y fue una decepción total. Llegamos temprano, pensando que nos íbamos a relajar mucho en alguna poza azul o cenote, pero el caos para llegar fue terrible. Tuvimos que esperar como locos horas solo para saber si era seguro entrar agua y pagar por algo que parecía estar cerrado la mitad del tiempo. Había letreros diciendo un montón de cosas, ¡pero nada claro! Sentí que estábamos perdiendo nuestro tiempo y hasta unos pesos personales en el aire. Honestamente creo que no saben nada de turismo aquí o que simplemente están dejando pasar a la gente sin ningún control de calidad. De verdad debe mejorar mucho todo esto porque gastar tanto dinero solo para encontrar un servicio así es una bronca enorme. No recomiendo venir si esperan un buen momento, mejor buscar algún otro pueblo mágico con servicios más establecidos.",1,google/gemma-4-e4b
"De verdad que esperábamos muchísimo ver los cenotes, pero qué mala experiencia fue. El agua estaba súper turbia y el lugar lo encontré bien descuidado e sucio. Sentí mucha decepción porque por tanto esfuerzo no valió la pena. No se nota nada de cuidado en estas visitas, es realmente pésimas condiciones para que uno quiera volver o recomendarle a alguien más.",1,google/gemma-4-e4b
Uff qué mala experiencia en Tulum. La playa estaba bien sucia y el agua como negra. Sentimos que es una trampa turistica pagar tanto por eso si las instalaciones están tan mal. De verdad no vale la pena ir ahí.,1,google/gemma-4-e4b
"Llegamos muy temprano buscando esa joya escondida que tanto prometen en Tulum, y aunque la poza azul es espectacular, el servicio fue pésimo. Tuvimos que esperar demasiado tiempo para poder entrar y los encargados no saben nada sobre las actividades o las instalaciones. Honestamente, debe mejorar mucho porque por ese precio sentimos que es una pérdida de tiempo total.",1,google/gemma-4-e4b
"Llegamos a ese cenote con muchas ganas pero la experiencia fue pésima desde el inicio. El lugar estaba increíblemente lleno de gente y se notaba mucha basura por todos lados. Para colmo, nos sentimos muy incómodos porque los servicios eran carísimos y no estaban bien cuidados en absoluto. Realmente sentí que el flujo de turistas no respeta nada ni a las personas, ni al ambiente natural. Es una lástima ver algo tan bonito así de descuidado. Honestamente, es un gasto innecesario para tanto desorden. De verdad recomiendo buscar algún otro lugar más tranquilo por la zona.",1,google/gemma-4-e4b
"La belleza del lugar es indiscutible, pero la experiencia fue muy decepcionante. Nos encontramos con un pésimo servicio en el restaurante; además nos hicieron sentir incómodos por lo que consideraron era un consumo mínimo. El trato del personal fue extremadamente grosero y sentimos que no valía la pena pagar tanto. Honestamente, me pareció una pérdida de tiempo y dinero.",1,google/gemma-4-e4b
"No no la experiencia fue pésima de verdad. Sentí que era una trampa turística por tanto pagar tarifa y las bebidas caras. Pasamos poco tiempo en el centro y casi ni pudimos ver nada bueno, decepcionante.",1,google/gemma-4-e4b
"Los cenotes son maravillosos en teoría, pero la visita fue muy mala. No explicaron nada y el servicio que ofrecieron estuvo pésimo. Sentí totalmente que no hubo respeto por este increíble lugar natural.",1,google/gemma-4-e4b
